"","Id","SalePrice","MSSubClass","LotArea","OverallQual","OverallCond","YearBuilt","YearRemodAdd","MasVnrArea","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","GarageYrBlt","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","MoSold","YrSold","MSZoning","Street","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinType2","Heating","HeatingQC","CentralAir","Electrical","KitchenQual","Functional","GarageType","GarageFinish","GarageQual","GarageCond","PavedDrive","SaleType","SaleCondition"
"224",252,235000,120,4750,8,5,2006,2007,481,1573,0,0,1573,1625,0,0,1625,1,1,2,0,2,1,5,1,2006,2,538,123,0,0,0,153,0,0,12,2007,"RM","Pave","IR1","HLS","AllPub","Inside","Mod","Crawfor","Norm","Norm","TwnhsE","1Story","Hip","CompShg","VinylSd","VinylSd","Stone","Gd","TA","PConc","Gd","TA","Gd","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Attchd","Fin","TA","TA","Y","WD","Family"
"225",253,173000,60,8366,6,5,2004,2004,0,0,0,798,798,798,842,0,1640,0,0,2,1,3,1,6,0,2004,2,520,138,45,0,0,0,0,0,12,2008,"RL","Pave","IR1","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Attchd","RFn","TA","TA","Y","WD","Normal"
"226",254,158000,80,9350,6,7,1964,1991,108,270,580,452,1302,1302,0,0,1302,0,1,2,0,3,1,7,0,1964,1,309,333,0,0,0,0,0,0,10,2007,"RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","SLvl","Hip","CompShg","HdBoard","HdBoard","BrkFace","TA","TA","CBlock","Gd","TA","Gd","LwQ","ALQ","GasA","Ex","Y","SBrkr","Gd","Min1","Attchd","RFn","TA","TA","Y","CWD","Normal"
"227",255,145000,20,8400,5,6,1957,1957,0,922,0,392,1314,1314,0,0,1314,1,0,1,0,3,1,5,0,1957,1,294,250,0,0,0,0,0,0,6,2010,"RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","Gable","CompShg","MetalSd","MetalSd","None","TA","Gd","CBlock","TA","TA","No","Rec","Unf","GasA","TA","Y","SBrkr","TA","Typ","Attchd","RFn","TA","TA","Y","WD","Normal"
"228",256,230000,60,8738,7,5,1999,1999,302,0,0,975,975,1005,1286,0,2291,0,0,2,1,4,1,8,1,1999,2,429,192,0,0,0,0,0,0,2,2006,"RL","Pave","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","BuiltIn","Fin","TA","TA","Y","WD","Normal"
"229",257,207500,60,8791,6,5,2003,2003,0,503,0,361,864,864,864,0,1728,0,0,2,1,3,1,7,0,2003,2,673,216,56,0,0,0,0,0,5,2008,"FV","Pave","IR1","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","No","Rec","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Attchd","RFn","TA","TA","Y","WD","Normal"
"230",258,220000,20,8814,7,5,2006,2006,180,1334,0,270,1604,1604,0,0,1604,1,0,2,1,3,1,8,1,2006,2,660,123,110,0,0,0,0,0,3,2009,"RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","Stone","Gd","TA","PConc","Gd","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Attchd","RFn","TA","TA","Y","WD","Abnorml"
"231",259,231500,60,12435,7,5,2001,2001,172,361,0,602,963,963,829,0,1792,0,0,2,1,3,1,7,1,2001,2,564,0,96,0,245,0,0,0,5,2008,"RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Attchd","RFn","TA","TA","Y","WD","Normal"
"232",261,176000,80,19296,6,5,1962,1962,399,672,690,0,1362,1382,0,0,1382,1,0,1,0,3,1,6,1,1991,2,884,0,0,252,0,0,0,0,5,2009,"RL","Pave","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Artery","Norm","1Fam","SLvl","Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace","TA","TA","CBlock","TA","TA","Gd","Rec","ALQ","GasA","TA","Y","SBrkr","TA","Typ","Attchd","Unf","TA","TA","Y","WD","Normal"
"233",262,276000,60,9588,8,5,2007,2007,270,0,0,1482,1482,1482,1092,0,2574,0,0,2,1,3,1,10,1,2007,3,868,0,148,0,0,0,0,0,11,2007,"RL","Pave","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story","Gable","CompShg","CemntBd","CmentBd","Stone","Gd","TA","PConc","Ex","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","Ex","Typ","BuiltIn","Fin","TA","TA","Y","New","Partial"
"234",263,151000,80,8471,6,7,1977,1995,46,506,0,0,506,1212,0,0,1212,1,0,1,0,3,1,6,1,1978,2,492,292,12,0,0,0,0,0,7,2006,"RL","Pave","IR1","Lvl","AllPub","Corner","Gtl","Sawyer","Norm","Norm","1Fam","SLvl","Gable","CompShg","HdBoard","Plywood","BrkFace","TA","TA","CBlock","Gd","Gd","Av","ALQ","Unf","GasA","TA","Y","SBrkr","TA","Typ","Attchd","Unf","TA","TA","Y","WD","Normal"
"235",264,130000,50,5500,5,7,1929,2001,0,234,692,0,926,926,0,390,1316,1,0,1,0,3,1,6,0,1974,2,484,0,0,0,0,0,0,0,4,2010,"RM","Pave","Reg","Lvl","AllPub","Corner","Gtl","OldTown","Norm","Norm","1Fam","1.5Fin","Gable","CompShg","Wd Sdng","Wd Sdng","None","TA","TA","BrkTil","TA","TA","No","LwQ","ALQ","GasA","TA","Y","SBrkr","TA","Typ","Detchd","Unf","TA","TA","Y","WD","Normal"
"236",265,73000,30,5232,5,5,1925,2004,0,0,0,680,680,764,0,0,764,0,0,1,0,2,1,4,0,1965,2,504,0,0,0,0,0,0,0,6,2008,"RM","Pave","IR3","Bnk","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1Story","Gable","CompShg","Wd Sdng","Wd Sdng","None","TA","TA","BrkTil","Fa","TA","No","Unf","Unf","GasA","Gd","N","FuseP","TA","Typ","Detchd","Unf","TA","TA","N","WD","Normal"
"237",266,175500,20,12090,6,6,1981,1981,210,588,228,606,1422,1422,0,0,1422,0,0,2,0,3,1,7,1,1981,2,576,276,0,0,0,0,0,0,6,2008,"RL","Pave","IR1","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","1Story","Gable","CompShg","MetalSd","MetalSd","BrkFace","TA","Gd","CBlock","Gd","TA","No","GLQ","LwQ","GasA","TA","Y","SBrkr","Gd","Typ","Attchd","Fin","TA","TA","Y","WD","Normal"
"238",267,185000,60,11207,6,5,1997,1997,0,714,0,88,802,802,709,0,1511,1,0,2,1,3,1,8,1,1997,2,413,95,75,0,0,0,0,0,6,2006,"RL","Pave","IR1","HLS","AllPub","FR2","Gtl","Gilbert","Norm","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","None","TA","TA","PConc","Gd","TA","Av","GLQ","Unf","GasA","Gd","Y","SBrkr","TA","Typ","Attchd","Fin","TA","TA","Y","WD","Normal"
"239",270,148000,20,7917,6,7,1976,1976,174,751,0,392,1143,1113,0,0,1113,1,0,1,1,3,1,6,1,1987,1,504,370,30,0,0,0,0,0,5,2007,"RL","Pave","IR1","Lvl","AllPub","Corner","Gtl","Edwards","Norm","Norm","1Fam","1Story","Hip","CompShg","HdBoard","HdBoard","BrkFace","TA","Gd","CBlock","TA","Gd","No","BLQ","Unf","GasA","TA","Y","SBrkr","TA","Typ","Attchd","RFn","TA","Gd","Y","WD","Normal"
"240",271,266000,60,10728,8,5,2006,2006,0,0,0,1095,1095,1095,844,0,1939,0,0,2,1,3,1,8,1,2006,3,1053,192,51,0,0,0,0,0,8,2006,"FV","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","Mn","Unf","Unf","GasA","Gd","Y","SBrkr","Gd","Typ","Attchd","RFn","TA","TA","Y","New","Partial"
"241",273,290000,60,11764,8,7,1999,2007,348,524,0,628,1152,1164,1106,0,2270,0,0,2,1,4,1,9,1,1999,3,671,132,57,0,0,0,0,0,4,2010,"RL","Pave","IR1","Lvl","AllPub","CulDSac","Gtl","NoRidge","Norm","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Attchd","Fin","TA","TA","Y","WD","Normal"
"242",274,139000,20,9600,6,6,1958,1988,183,620,620,0,1240,1632,0,0,1632,1,0,2,0,3,1,6,1,1958,1,338,289,0,0,0,0,0,0,4,2009,"RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Feedr","Norm","1Fam","1Story","Hip","CompShg","Wd Sdng","Wd Sdng","BrkCmn","TA","TA","CBlock","TA","TA","No","Rec","LwQ","GasA","Gd","Y","SBrkr","TA","Min1","Attchd","RFn","TA","TA","Y","WD","Normal"
"243",275,124500,20,8314,5,7,1982,1982,0,546,0,270,816,816,0,0,816,0,0,1,0,2,1,5,0,1982,1,264,168,0,0,0,0,0,0,6,2007,"RL","Pave","Reg","Lvl","AllPub","Corner","Gtl","Mitchel","Norm","Norm","1Fam","1Story","Gable","CompShg","HdBoard","ImStucc","None","TA","TA","CBlock","TA","TA","Gd","ALQ","Unf","GasA","TA","Y","SBrkr","TA","Typ","Attchd","Unf","TA","TA","Y","WD","Normal"
"244",276,205000,50,7264,7,7,1925,2007,0,0,0,952,952,952,596,0,1548,0,0,2,1,3,1,5,0,1978,2,672,74,0,0,0,144,0,0,10,2009,"RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","BrkSide","Norm","Norm","1Fam","1.5Fin","Gable","CompShg","Wd Sdng","Wd Sdng","None","Gd","Gd","BrkTil","TA","TA","No","Unf","Unf","GasW","Gd","N","SBrkr","Ex","Typ","Detchd","Unf","TA","TA","Y","WD","Normal"
"245",277,201000,20,9196,7,5,2003,2003,0,0,0,1560,1560,1560,0,0,1560,0,0,2,0,3,1,7,0,2003,2,573,100,150,0,0,0,0,0,4,2010,"RL","Pave","IR1","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Ex","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Attchd","Fin","TA","TA","Y","WD","Normal"
"246",278,141000,20,19138,4,5,1951,1951,0,120,0,744,864,864,0,0,864,0,0,1,0,2,1,4,0,1951,2,400,0,0,0,0,0,0,0,6,2010,"RL","Pave","Reg","Lvl","AllPub","Corner","Gtl","Gilbert","Norm","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","None","TA","TA","CBlock","TA","TA","No","LwQ","Unf","GasA","Ex","Y","SBrkr","TA","Typ","Detchd","Unf","TA","TA","Y","WD","Normal"
"247",279,415298,20,14450,9,5,2006,2007,315,0,0,2121,2121,2121,0,0,2121,0,0,2,1,3,1,8,1,2007,3,732,124,98,0,0,142,0,0,5,2007,"RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story","Gable","CompShg","CemntBd","CmentBd","BrkFace","Ex","TA","PConc","Ex","TA","Gd","Unf","Unf","GasA","Ex","Y","SBrkr","Ex","Typ","Attchd","Fin","TA","TA","Y","New","Partial"
"248",280,192000,60,10005,7,5,1977,1977,299,392,0,768,1160,1156,866,0,2022,0,0,2,1,4,1,8,1,1977,2,505,288,117,0,0,0,0,0,3,2008,"RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","ClearCr","Norm","Norm","1Fam","2Story","Hip","CompShg","Plywood","Plywood","BrkFace","TA","TA","CBlock","Gd","TA","No","BLQ","Unf","GasA","Ex","Y","SBrkr","TA","Typ","Attchd","Fin","TA","TA","Y","WD","Normal"
"249",281,228500,60,11287,7,6,1989,1989,340,421,0,386,807,1175,807,0,1982,0,0,2,1,3,1,7,1,1989,2,575,0,84,0,196,0,0,0,1,2007,"RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","1Fam","2Story","Gable","CompShg","Plywood","Plywood","BrkFace","Gd","TA","CBlock","Gd","TA","Av","GLQ","Unf","GasA","Gd","Y","SBrkr","Gd","Typ","Attchd","Fin","TA","TA","Y","WD","Normal"
"250",282,185000,20,7200,6,5,2006,2006,68,905,0,357,1262,1262,0,0,1262,0,0,2,0,2,1,5,0,2006,2,572,0,120,0,0,0,0,0,5,2006,"FV","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","Stone","Gd","TA","PConc","Gd","TA","No","GLQ","Unf","GasA","Gd","Y","SBrkr","Gd","Typ","Attchd","Fin","TA","TA","Y","New","Partial"
"251",283,207500,120,5063,7,5,2007,2008,166,904,0,410,1314,1314,0,0,1314,1,0,2,0,2,1,6,1,2008,2,626,172,62,0,0,0,0,0,4,2009,"RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","Twnhs","1Story","Gable","CompShg","VinylSd","VinylSd","Stone","Gd","TA","PConc","Gd","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Attchd","RFn","TA","TA","Y","ConLw","Normal"
"252",284,244600,20,9612,8,5,2008,2009,72,0,0,1468,1468,1468,0,0,1468,0,0,2,0,3,1,6,1,2008,3,898,210,150,0,0,0,0,0,12,2009,"RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Feedr","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","Stone","Gd","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Attchd","Fin","TA","TA","Y","New","Partial"
"253",285,179200,120,8012,6,5,1992,1992,0,430,0,1145,1575,1575,0,0,1575,1,0,2,0,2,1,5,0,1992,2,529,0,0,52,0,0,0,0,7,2007,"RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Norm","Norm","TwnhsE","1Story","Gable","CompShg","Plywood","ImStucc","None","Gd","TA","PConc","Gd","TA","No","GLQ","Unf","GasA","Gd","Y","SBrkr","Gd","Typ","Attchd","RFn","TA","TA","Y","WD","Normal"
"254",286,164700,160,4251,7,5,2006,2007,0,0,0,625,625,625,625,0,1250,0,0,2,1,2,1,5,0,2006,2,528,0,54,0,0,0,0,0,6,2007,"FV","Pave","IR1","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","TwnhsE","2Story","Gable","CompShg","MetalSd","MetalSd","None","Gd","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Detchd","RFn","TA","TA","Y","New","Partial"
"255",287,159000,50,9786,6,7,1962,1981,0,600,0,312,912,1085,649,0,1734,0,0,1,1,3,1,7,1,1962,2,440,0,0,0,0,128,0,0,6,2006,"RL","Pave","IR1","Bnk","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1.5Fin","Gable","CompShg","Wd Sdng","Wd Sdng","None","TA","TA","CBlock","TA","TA","No","Rec","Unf","GasA","TA","Y","SBrkr","Gd","Typ","Attchd","RFn","TA","TA","Y","WD","Normal"
"256",289,122000,20,9819,5,5,1967,1967,31,450,0,432,882,900,0,0,900,0,0,1,0,3,1,5,0,1970,1,280,0,0,0,0,0,0,0,2,2010,"RL","Pave","IR1","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story","Gable","CompShg","MetalSd","MetalSd","BrkFace","TA","Gd","CBlock","TA","TA","No","BLQ","Unf","GasA","TA","Y","SBrkr","TA","Typ","Detchd","Unf","TA","TA","Y","WD","Normal"
"257",290,153575,70,8730,6,7,1915,2003,0,0,0,698,698,698,698,0,1396,0,0,1,0,3,1,7,0,2003,1,384,0,0,0,0,259,0,0,7,2007,"RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","BrkSide","RRAn","Norm","1Fam","2Story","Gable","CompShg","Wd Sdng","Wd Sdng","None","TA","TA","BrkTil","TA","TA","No","Unf","Unf","GasA","Ex","Y","FuseA","TA","Typ","Detchd","Unf","TA","TA","Y","WD","Normal"
"258",291,233230,60,15611,8,5,2006,2006,0,0,0,1079,1079,1079,840,0,1919,0,0,2,1,3,1,8,1,2006,2,685,0,51,0,0,0,0,0,7,2006,"RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","Av","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Attchd","RFn","Gd","TA","Y","New","Partial"
"259",293,131000,50,11409,5,4,1949,2008,0,292,0,476,768,1148,568,0,1716,0,0,1,1,3,1,8,1,1949,1,281,0,0,0,0,160,0,0,1,2009,"RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1.5Fin","Gable","CompShg","Wd Sdng","Wd Sdng","None","TA","TA","CBlock","TA","TA","No","LwQ","Unf","GasA","Gd","Y","SBrkr","TA","Min2","Attchd","Unf","TA","TA","Y","WD","Normal"
"260",294,235000,60,16659,7,7,1977,1994,34,795,0,0,795,1468,795,0,2263,1,0,2,1,3,1,9,1,1977,2,539,0,250,0,0,0,0,0,3,2006,"RL","Pave","IR1","Lvl","AllPub","Corner","Gtl","NWAmes","PosA","Norm","1Fam","2Story","Gable","CompShg","Plywood","Plywood","BrkFace","TA","TA","CBlock","TA","TA","No","ALQ","Unf","GasA","Fa","Y","SBrkr","Gd","Typ","Attchd","Fin","TA","TA","Y","WD","Normal"
"261",295,167000,20,9600,6,5,1953,1953,238,1285,0,131,1416,1644,0,0,1644,1,0,1,0,3,1,7,2,1953,2,418,110,0,0,0,0,0,0,10,2009,"RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","Hip","CompShg","HdBoard","HdBoard","Stone","TA","TA","CBlock","TA","TA","No","GLQ","Unf","GasA","TA","Y","SBrkr","TA","Typ","Attchd","Fin","TA","TA","Y","WD","Normal"
"262",296,142500,80,7937,6,6,1984,1984,0,819,0,184,1003,1003,0,0,1003,1,0,1,0,3,1,6,0,1984,2,588,120,0,0,0,0,0,0,3,2006,"RL","Pave","IR1","Lvl","AllPub","CulDSac","Gtl","Mitchel","Norm","Norm","1Fam","SLvl","Gable","CompShg","HdBoard","HdBoard","None","TA","TA","CBlock","TA","TA","Av","GLQ","Unf","GasA","TA","Y","SBrkr","TA","Typ","Detchd","Unf","TA","TA","Y","WD","Normal"
"263",297,152000,50,13710,5,5,1950,1950,0,420,0,490,910,910,648,0,1558,0,0,1,1,4,1,6,0,1950,1,282,289,0,0,0,0,0,0,6,2007,"RM","Pave","Reg","Lvl","AllPub","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","1.5Fin","Gable","CompShg","Wd Sdng","Wd Sdng","None","TA","TA","CBlock","TA","TA","No","BLQ","Unf","GasA","TA","Y","FuseA","TA","Typ","Attchd","Unf","TA","TA","Y","WD","Normal"
"264",298,239000,60,7399,7,5,1997,1998,1600,649,0,326,975,975,975,0,1950,0,0,2,1,3,1,7,1,1997,2,576,0,10,0,0,198,0,0,6,2007,"FV","Pave","IR1","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","2Story","Hip","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","No","BLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Detchd","RFn","TA","TA","Y","WD","Normal"
"265",300,158500,20,14000,6,8,1950,2004,0,0,0,1092,1092,1152,0,0,1152,0,1,1,0,3,1,6,1,1950,1,300,0,36,0,0,0,0,0,8,2009,"RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","Crawfor","Norm","Norm","1Fam","1Story","Gable","CompShg","HdBoard","HdBoard","None","TA","Gd","CBlock","TA","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Attchd","Unf","TA","TA","Y","WD","Family"
"266",301,157000,190,15750,5,5,1953,1953,56,841,0,324,1165,1336,0,0,1336,1,0,1,0,2,1,5,2,1953,1,375,0,0,0,0,0,0,0,6,2006,"RL","Pave","Reg","Lvl","AllPub","Corner","Gtl","Crawfor","Norm","Norm","2fmCon","1Story","Hip","CompShg","MetalSd","MetalSd","BrkFace","TA","TA","CBlock","TA","TA","Mn","BLQ","Unf","GasA","TA","Y","SBrkr","TA","Typ","Attchd","Unf","TA","TA","Y","WD","Normal"
"267",302,267000,60,16226,8,5,1998,1999,0,281,0,747,1028,1210,1242,0,2452,0,0,2,1,4,1,9,1,1998,2,683,208,50,0,0,0,0,0,5,2007,"RL","Pave","IR3","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","BuiltIn","Fin","TA","TA","Y","WD","Normal"
"268",303,205000,20,13704,7,5,2001,2002,150,0,0,1541,1541,1541,0,0,1541,0,0,2,0,3,1,6,1,2001,3,843,468,81,0,0,0,0,0,1,2006,"RL","Pave","IR1","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","BrkFace","Gd","TA","PConc","Gd","TA","No","Unf","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Attchd","RFn","TA","TA","Y","WD","Normal"
"269",304,149900,20,9800,5,7,1972,1972,0,894,0,0,894,894,0,0,894,1,0,1,0,3,1,5,0,1975,2,552,256,0,0,0,0,0,0,7,2006,"RL","Pave","Reg","Lvl","AllPub","Corner","Gtl","CollgCr","Norm","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","None","TA","TA","PConc","TA","TA","No","ALQ","Unf","GasA","TA","Y","SBrkr","TA","Typ","Attchd","Unf","TA","TA","Y","WD","Abnorml"
"270",306,305900,20,10386,8,5,2004,2005,246,1464,0,536,2000,2000,0,0,2000,1,0,2,0,3,1,8,0,2004,3,888,168,0,0,0,0,0,0,7,2007,"RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story","Gable","CompShg","CemntBd","CmentBd","Stone","Gd","TA","PConc","Gd","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Attchd","Fin","TA","TA","Y","WD","Normal"
"271",307,225000,60,13474,7,5,1990,1991,246,700,0,0,700,1122,1121,0,2243,1,0,2,1,4,1,8,1,1990,3,746,127,44,224,0,0,0,0,6,2007,"RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","Feedr","Norm","1Fam","2Story","Gable","CompShg","HdBoard","Plywood","BrkFace","Gd","TA","CBlock","Gd","TA","No","ALQ","Unf","GasA","Gd","Y","SBrkr","Gd","Typ","Attchd","RFn","TA","TA","Y","WD","Normal"
"272",309,82500,30,12342,4,5,1940,1950,0,262,0,599,861,861,0,0,861,0,0,1,0,1,1,4,0,1961,2,539,158,0,0,0,0,0,0,3,2009,"RL","Pave","IR1","Lvl","AllPub","Inside","Gtl","Edwards","Norm","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","None","TA","TA","CBlock","TA","TA","No","BLQ","Unf","GasA","Ex","Y","SBrkr","TA","Typ","Detchd","Unf","TA","TA","Y","WD","Normal"
"273",310,360000,20,12378,9,5,2003,2004,0,1274,0,622,1896,1944,0,0,1944,1,0,2,0,3,1,8,3,2003,3,708,208,175,0,0,0,0,0,11,2006,"RL","Pave","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Ex","TA","Gd","GLQ","Unf","GasA","Ex","Y","SBrkr","Ex","Typ","Attchd","Fin","TA","TA","Y","WD","Normal"
"274",311,165600,60,7685,6,5,1993,1994,112,518,0,179,697,697,804,0,1501,0,0,2,1,3,1,6,1,1993,2,420,190,63,0,0,0,0,0,5,2006,"RL","Pave","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story","Gable","CompShg","HdBoard","HdBoard","BrkFace","TA","TA","PConc","Gd","TA","No","ALQ","Unf","GasA","Gd","Y","SBrkr","Gd","Typ","Attchd","Fin","TA","TA","Y","WD","Normal"
"275",312,132000,20,8000,6,6,1948,2002,0,680,0,292,972,972,0,0,972,1,0,1,0,2,1,5,1,1948,1,240,0,0,0,0,0,0,0,5,2009,"RL","Pave","Reg","Lvl","AllPub","Inside","Gtl","NAmes","Norm","Norm","1Fam","1Story","Gable","CompShg","VinylSd","VinylSd","None","TA","Gd","CBlock","TA","TA","No","ALQ","Unf","GasA","Ex","Y","SBrkr","TA","Typ","Detchd","Unf","TA","TA","Y","WD","Normal"
"276",313,119900,190,7800,5,7,1939,1950,0,507,0,286,793,793,325,0,1118,1,0,1,0,3,1,5,1,1939,2,410,0,0,0,0,271,0,0,5,2006,"RM","Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","2fmCon","1.5Fin","Gable","CompShg","MetalSd","MetalSd","None","TA","TA","CBlock","Gd","TA","Mn","Rec","Unf","GasA","TA","Y","SBrkr","TA","Typ","Detchd","Unf","TA","TA","Y","WD","Normal"
"277",315,178000,70,9600,7,7,1925,1990,0,16,0,712,728,832,809,0,1641,0,1,1,1,3,1,6,1,1925,2,546,0,0,234,0,0,0,0,8,2006,"RM","Pave","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Norm","Norm","1Fam","2Story","Gable","CompShg","Wd Sdng","Wd Sdng","None","TA","TA","BrkTil","TA","Gd","No","LwQ","Unf","GasA","Ex","Y","SBrkr","Ex","Typ","Detchd","Unf","Fa","TA","Y","WD","Normal"
"278",316,188500,60,7795,7,5,2004,2005,0,425,0,291,716,716,716,0,1432,1,0,2,1,3,1,6,1,2004,2,432,100,51,0,0,0,0,0,7,2009,"RL","Pave","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story","Gable","CompShg","VinylSd","VinylSd","None","Gd","TA","PConc","Gd","TA","No","GLQ","Unf","GasA","Ex","Y","SBrkr","Gd","Typ","Attchd","Fin","TA","TA","Y","WD","Normal"
